-99.95 5
-97.95 4
-95.95 15
-93.95 8
-91.95 9
-89.95 7
-87.95 10
-85.95 6
-83.95 7
-81.96 15
-79.96 11
-77.96 12
-75.96 7
-73.96 9
-71.96 13
-69.96 8
-67.96 8
-65.96 9
-63.96 5
-61.96 8
-59.96 15
-57.96 9
-55.96 14
-53.96 16
-51.96 12
-49.96 6
-47.97 9
-45.97 12
-43.97 12
-41.97 13
-39.97 5
-37.97 13
-35.97 11
-33.97 6
-31.97 15
-29.97 10
-27.97 11
-25.97 8
-23.97 7
-21.97 7
-19.97 9
-17.97 9
-15.98 10
-13.98 9
-11.98 13
-9.98 8
-7.98 7
-5.98 14
-3.98 6
-1.98 5
0.02 7
2.02 8
4.02 7
6.02 9
8.02 12
10.02 12
12.02 13
14.02 9
16.02 10
18.01 9
20.01 6
22.01 13
24.01 8
26.01 10
28.01 11
30.01 8
32.01 7
34.01 15
36.01 12
38.01 7
40.01 11
42.01 7
44.01 12
46.01 14
48.01 12
50.01 8
52.00 8
54.00 13
56.00 8
58.00 3
60.00 8
62.00 15
64.00 9
66.00 5
68.00 14
70.00 13
72.00 11
74.00 14
76.00 9
78.00 8
80.00 9
82.00 15
83.99 10
85.99 16
87.99 13
89.99 10
91.99 17
93.99 11
95.99 15
97.99 11
